DB09130	147	F7VJQ1 O00299 O60701 O75880 P00338 P00387 P00390 P00558 P00734 P00739 P00747 P01008 P01009 P01019 P01024 P01031 P01042 P01619 P01857 P01861 P02647 P02649 P02652 P02655 P02656 P02743 P02747 P02748 P02749 P02750 P02765 P02766 P02775 P02787 P04003 P04004 P04217 P04264 P04406 P05067 P05090 P05109 P05121 P05155 P05156 P05452 P05543 P05546 P05787 P06396 P06727 P06733 P06744 P07237 P07358 P07437 P07900 P08185 P08603 P08697 P08758 P08865 P09525 P09871 P0C0L5 P10412 P10809 P10909 P10997 P11021 P11142 P12814 P13645 P14550 P14618 P14625 P14866 P15531 P15814 P15880 P17174 P18669 P19823 P22626 P23246 P23415 P23526 P23528 P23560 P25311 P26447 P27169 P27797 P29034 P29401 P29622 P30041 P30086 P30101 P31942 P31943 P31946 P31948 P32119 P35527 P35858 P35908 P36955 P37840 P42858 P43487 P43652 P45973 P48637 P48723 P50213 P51693 P51858 P51884 P56537 P60842 P61769 P61987 P62807 P62937 P63244 P63261 P68104 P68871 P69905 Q03154 Q06323 Q06830 Q07021 Q07955 Q08288 Q0VD83 Q13748 Q15185 Q15428 Q6MZM0 Q969S2 Q96FI4 Q96PD5 Q96RE1 Q99497 Q9UHF0
DB00157	144	O00217 O00483 O14556 O14561 O15239 O43175 O43181 O43674 O43676 O43677 O43678 O43837 O43920 O60701 O75251 O75306 O75380 O75438 O75489 O94788 O95139 O95167 O95168 O95169 O95178 O95182 O95298 O95299 O95479 O96000 P00325 P00326 P00338 P00352 P00367 P00374 P00387 P00390 P03886 P03891 P03897 P03901 P03905 P03915 P03923 P04035 P04406 P05091 P05093 P07195 P07327 P07864 P08319 P08559 P09417 P09601 P09622 P10515 P11177 P11586 P11766 P12268 P13995 P14060 P14061 P14679 P15121 P15428 P16083 P16219 P17516 P17568 P19404 P20839 P21695 P23368 P26439 P28331 P28845 P29803 P30038 P30043 P30519 P30837 P30838 P31937 P32322 P37058 P37059 P40394 P40925 P40926 P40939 P42330 P43353 P47895 P48163 P48448 P48728 P49189 P49419 P49448 P49821 P50213 P51553 P51648 P51649 P51659 P51970 P52895 P53004 P56181 P56556 P56937 P80365 Q00796 Q02218 Q02252 Q02338 Q02928 Q04828 Q08426 Q13423 Q13630 Q15738 Q15800 Q16718 Q16795 Q16798 Q16836 Q16878 Q6ZMR3 Q86Y39 Q92506 Q92781 Q96C36 Q99714 Q9BYZ2 Q9NRX3 Q9P0J0 Q9UBM7 Q9UDR5 Q9UI09 Q9Y6M9
DB01593	124	O14556 O14618 O14791 O15304 O15350 O75340 O75636 P00441 P00450 P00734 P00736 P00739 P00748 P00751 P01009 P01011 P01019 P01023 P01024 P01031 P01042 P01308 P01591 P01599 P01619 P01871 P01876 P02533 P02538 P02647 P02649 P02652 P02671 P02743 P02746 P02747 P02751 P02765 P02766 P02787 P02795 P03372 P03952 P04003 P04004 P04075 P04217 P04264 P04278 P04279 P04637 P04731 P05067 P05109 P05156 P05160 P05546 P06396 P06702 P06727 P06733 P07237 P07357 P07358 P07360 P08185 P08603 P08700 P08779 P09871 P09874 P0C0L5 P10909 P13645 P13647 P14780 P14923 P15169 P15531 P15924 P16455 P19652 P19823 P19827 P20742 P20851 P22792 P23415 P25713 P27169 P29034 P29372 P29622 P30101 P31151 P35527 P35858 P35908 P45381 P46663 P46736 P46939 P49411 P49908 P51693 P56524 P60174 P68104 P68871 P69905 P78330 P80748 P81605 Q00987 Q06033 Q06481 Q06830 Q0VD83 Q13547 Q14624 Q86YZ3 Q8N907 Q96PD5 Q9BY41
DB02379	90	O07653 O14594 O34974 O60264 O82839 O85465 P00490 P00691 P00692 P01552 P01556 P01574 P02144 P02943 P04745 P04746 P04958 P05162 P05618 P06737 P06971 P07986 P0A6V8 P0AC38 P0AEE5 P0AEK4 P0AEX9 P0C2S2 P0C2S5 P10844 P11217 P12528 P13507 P13650 P14090 P15587 P17802 P19367 P19571 P19961 P23219 P23340 P23827 P23904 P23905 P24300 P26221 P26466 P26827 P29957 P30920 P35247 P35557 P36924 P37698 P37700 P38940 P40943 P46926 P47929 P49302 P54583 P69178 P94622 Q07982 Q08751 Q26609 Q46079 Q47644 Q48436 Q54331 Q57366 Q60037 Q60053 Q6L8H2 Q6UWM7 Q701N4 Q79G13 Q7SI98 Q7WT42 Q7Z4J2 Q8GJ44 Q9BW91 Q9BZZ2 Q9HYN5 Q9KG76 Q9RX51 Q9WXN1 Q9ZB17 Q9ZEU2
DB03147	86	O31616 O95831 P00387 P00390 P00438 P00914 P05327 P06149 P06715 P07771 P08373 P09063 P09546 P09622 P09788 P0A9P4 P0AEZ1 P0C278 P10902 P11310 P12676 P14218 P14920 P15559 P16083 P16219 P16435 P16640 P18925 P19480 P20586 P21397 P21890 P22570 P22637 P24232 P26440 P27338 P28593 P28861 P29475 P35340 P37062 P37063 P37747 P38038 P39662 P40859 P42593 P47989 P55789 P55792 P58558 P61432 P61497 P77967 P83223 P9WHH7 P9WIQ1 P9WIQ3 Q06319 Q12882 Q15067 Q16795 Q16881 Q44532 Q47PU3 Q51225 Q52437 Q56839 Q72JJ3 Q7SID9 Q86YB8 Q888A4 Q92947 Q94655 Q96RQ9 Q9AGP8 Q9KIE5 Q9LAG2 Q9RA47 Q9RC23 Q9UHQ9 Q9UKU7 Q9WYT0 Q9Z4P0
DB00142	70	O00222 O00341 O14841 O15067 O15382 O15399 O43424 O60391 O75879 O94925 O95954 P00367 P00505 P07814 P08243 P15104 P17174 P17735 P24298 P38435 P39086 P42261 P42262 P42263 P43003 P43004 P43005 P48058 P48506 P48507 P48664 P49448 P49915 P54687 P54886 P80404 Q04609 Q05329 Q05586 Q05932 Q07075 Q12879 Q13002 Q13003 Q13224 Q13255 Q14831 Q14833 Q14957 Q16099 Q16478 Q2TU84 Q5JPH6 Q5TDP6 Q6IA69 Q6YP21 Q8N159 Q8N5Z0 Q8TCU5 Q8TD30 Q99259 Q9H1K4 Q9H936 Q9UDR5 Q9UI32 Q9ULA0 Q9ULK0 Q9UPY5 Q9Y617 Q9Y646
DB04272	67	O14964 O33833 O34002 O75390 O76074 P00808 P00953 P03277 P03950 P04079 P04190 P05042 P06672 P07360 P07741 P07998 P0A753 P0A955 P10930 P11922 P12724 P12931 P13299 P14174 P15086 P15121 P16608 P21408 P32173 P32427 P33644 P38489 P38516 P39126 P40926 P44725 P45568 P46849 P62312 P83787 P9WN38 P9WN39 P9WN95 Q02834 Q04095 Q14749 Q2QJL3 Q37875 Q7CL96 Q81F54 Q93088 Q96RQ9 Q9BY32 Q9BZX2 Q9CBQ2 Q9GV41 Q9GZU7 Q9HB21 Q9HU22 Q9LCX9 Q9WZ40 Q9WZW1 Q9X0N8 Q9X1F0 Q9X286 Q9Y275 Q9Y663
DB00114	66	O15269 O15270 O15382 O75600 O94903 O95470 O95954 P00505 P04181 P06737 P11216 P11217 P11926 P13196 P17174 P17735 P19113 P20132 P20711 P21549 P22557 P23378 P24298 P32929 P34896 P34897 P35520 P54687 P80404 Q16719 Q16773 Q2TU84 Q53ET4 Q59FK2 Q59GM9 Q59HE2 Q5JAM2 Q5VZ30 Q6IBS8 Q6P996 Q6WRI0 Q6YP21 Q6ZQY3 Q8IUZ5 Q8IVA8 Q8IYQ7 Q8N5Z0 Q8TD30 Q96A70 Q96EN8 Q96GA7 Q96GD0 Q96I15 Q96JQ3 Q99259 Q9BXA1 Q9BYV1 Q9GZT4 Q9HD40 Q9NUV7 Q9NVS9 Q9UGI5 Q9UJX1 Q9Y600 Q9Y617 Q9Y697
DB03461	60	O60218 O75874 P00325 P00374 P04035 P06632 P08200 P0ABQ4 P0AEK2 P0C188 P0CG22 P11411 P11413 P11586 P14061 P14550 P14941 P15121 P15770 P16100 P16184 P16435 P16544 P21890 P22570 P28845 P29475 P30043 P32055 P35270 P38038 P40925 P42330 P42593 P44801 P46336 P48163 P52895 P55818 P58558 P67910 P76187 P80874 Q01782 Q04828 Q08257 Q13423 Q14914 Q16698 Q56694 Q59931 Q6UWP2 Q7Z4W1 Q8I814 Q92506 Q9GV41 Q9WYS2 Q9WZS7 Q9X022 Q9X0A2
DB03247	54	O00141 O07529 O34974 O69755 O75676 P00322 P00323 P0A2Y7 P0A3D9 P0A7E1 P0AFI7 P10340 P16099 P16435 P17117 P20932 P29475 P30043 P30197 P38489 P41407 P42593 P46072 P50618 P50740 P55038 P56122 P61949 P63462 P69772 P71278 Q01234 Q02127 Q12882 Q46604 Q51793 Q51990 Q53ZE5 Q56691 Q60049 Q746I8 Q81EW9 Q8DW21 Q969G6 Q96CD2 Q9F0J6 Q9FDN7 Q9NVS9 Q9NYQ3 Q9RYU4 Q9UJM8 Q9WXV1 Q9WZW1 Q9ZK53
